No;Kode Produk;Nama Produk;Jenis Produk;Satuan;Type;Periode;QTY;HPP;Jumlah;Suplier;
1158;APV;ASTOR PANJANG VALEO ;Manis;BALL 4 KG;In;2024-10;20;120000;2400000; Abadi Jaya Perkasa ;
1159;BI;BAGELEN ION;Manis;BALL 1 KG;In;2024-10;20;40000;800000; Abadi Jaya Perkasa ;
1160;B2B;BANPOL 2 BURUNG;Asin;BALL 2 KG;In;2024-10;65;100000;6500000; Abadi Jaya Perkasa ;
1161;BK;BANTAL KEJU;Asin;BALL 1 KG;In;2024-10;30;40000;1200000; Mandiri Snack ;
1162;BA;BASRENG ATO;Pedas;BALL 2 KG;In;2024-10;50;50000;2500000; Mandiri Snack ;
1163;BO;BATAGOR ORI;Asin;BALL 2 KG;In;2024-10;50;50000;2500000; Mandiri Snack ;
1164;BPD;BOLA PELANGI DUO;Manis;BALL 4 KG;In;2024-10;50;100000;5000000; Mandiri Snack ;
1165;BSA;BOLU S AZZAHRA;Manis;BALL 1 KG;In;2024-10;50;40000;2000000; Mandiri Snack ;
1166;BKT;BROWNIS KARAKTER;Manis;BALL 1 KG;In;2024-10;30;50000;1500000; Mandiri Snack ;
1167;CO;CIKIBUL OSAKA;Manis;BALL 1 KG;In;2024-10;50;40000;2000000; Mandiri Snack ;
1168;CW;CIPUT WAYANG ;Asin;BALL 1 KG;In;2024-10;50;50000;2500000; Mandiri Snack ;
1169;CC;COCOSTIK;Manis;BALL 1 KG;In;2024-10;65;20000;1300000; Mandiri Snack ;
1170;CP;COMBRING PEDAS;Pedas;BALL 1 KG;In;2024-10;50;40000;2000000; Mandiri Snack ;
1171;GD;GURILEM DASYAT;Pedas;BALL 1 KG;In;2024-10;50;30000;1500000; Mandiri Snack ;
1172;GL;GURILEM LYDIA;Pedas;BALL 1 KG;In;2024-10;50;30000;1500000; Mandiri Snack ;
1173;KAB;KACANG ATOM BIMA ;Asin;BALL 2 KG;In;2024-10;50;80000;4000000; Mandiri Snack ;
1174;KBA;KACANG BANDUNG ALADIN;Asin;BALL 2 KG;In;2024-10;50;120000;6000000; Mandiri Snack ;
1175;KK;KACANG KEDELAI;Asin;BALL 2 KG;In;2024-10;50;90000;4500000; Mandiri Snack ;
1176;KM;KACANG MIX;Asin;BALL 2 KG;In;2024-10;70;90000;6300000; SDP ;
1177;KTA;KACANG TELOR AMPERA;Asin;BALL 2 KG;In;2024-10;50;10000;500000; SDP ;
1178;KTP;KACANG TOBA PEDAS;Pedas;BALL 2 KG;In;2024-10;50;80000;4000000; SDP ;
1179;KCI;KEMPLANG CAP IKAN ;Asin;BALL 1 KG;In;2024-10;20;50000;1000000; SDP ;
1180;KKW;KERUPUK KEMPLANG WHR;Asin;BALL 1 KG;In;2024-10;20;50000;1000000; SDP ;
1181;KMW;KUE MARIE WIJEN;Asin;BALL 2 KG;In;2024-10;20;80000;1600000; Zidan Snack ;
1182;KPM;KUPING MINI;Manis;BALL 1 KG;In;2024-10;30;25000;750000; Zidan Snack ;
1183;LU;LADU UNGU;Manis;BALL 1 KG;In;2024-10;50;40000;2000000; Zidan Snack ;
1184;MC;MAKARONI CIKRUH;Pedas;BALL 1 KG;In;2024-10;70;50000;3500000; Zidan Snack ;
1185;MCM;MAKARONI CIKRUH MAWARASA;Pedas;BALL 1 KG;In;2024-10;30;50000;1500000; Zidan Snack ;
