No;Kode Produk;Nama Produk;Jenis Produk;Satuan;Type;Periode;QTY;HPP;Jumlah;Suplier;
1295;MCM;MAKARONI CIKRUH MAWARASA;Pedas;BALL 1 KG;In;2024-12;60;50000;3000000; Zidan Snack ;
1296;MOK;MAKARONI ORI KIORY;Asin;BALL 1 KG;In;2024-12;80;40000;3200000; AJP ;
1297;MRB;MAKARONI RUJAK BALI ;Pedas;BALL 1 KG;In;2024-12;150;40000;6000000; AJP ;
1298;MT;MAKARONI TABUR;Pedas;BALL 1 KG;In;2024-12;60;40000;2400000; AJP ;
1299;MPK;ManisAN PALA KERING;Manis;BALL 4 KG;In;2024-12;80;200000;16000000; AJP ;
1300;MM;MARNING ;Asin;BALL 2 KG;In;2024-12;55;60000;3300000; AJP ;
1301;MCBM;MARNING CAP BOGOR MAS;Asin;BALL 2 KG;In;2024-12;55;100000;5500000; Subur Jaya ;
1302;MJS;MARNING JAGUNG AJI SUKA;Asin;BALL 2 KG;In;2024-12;60;80000;4800000; Subur Jaya ;
1303;MGS;MIE GULUNG ORI/Pedas SDP;Pedas;BALL 1 KG;In;2024-12;80;50000;4000000; Subur Jaya ;
1304;PM;PANGSIT MAWAR;Pedas;BALL 1 KG;In;2024-12;55;50000;2750000; Subur Jaya ;
1305;PTB;PILUS TIGA BURUNG ;Asin;BALL 1 KG;In;2024-12;60;30000;1800000; Subur Jaya ;
1306;PAM;PISANG AROMA MAUYUT;Manis;BALL 2 KG;In;2024-12;80;50000;4000000; Subur Jaya ;
1307;PAS;PISANG ASIN SDP;Asin;BALL 2 KG;In;2024-12;55;60000;3300000; Subur Jaya ;
1308;PST;POKEN STIK TAKARA;Asin;BALL 1 KG;In;2024-12;55;50000;2750000; Subur Jaya ;
1309;PBR;POTATO BULAT BALADO RIORY;Pedas;BALL 1 KG;In;2024-12;30;40000;1200000; Subur Jaya ;
1310;PKR;POTATO  KOTAK RYORI;Asin;BALL 1 KG;In;2024-12;240;30000;7200000; Subur Jaya ;
1311;SA;SIOMAY AZAHRA;Pedas;BALL 1 KG;In;2024-12;60;40000;2400000; Delvi Jaya ;
1312;SB;SALE BASAH ;Manis;BALL 1 KG;In;2024-12;30;30000;900000; Delvi Jaya ;
1313;SBM;SINGKONG BALADO MJ;Pedas;BALL 2 KG;In;2024-12;40;80000;3200000; Delvi Jaya ;
1314;ST;SINGKONG TES ;Asin;BALL 2 KG;In;2024-12;33;100000;3300000; Delvi Jaya ;
1315;SV;SEBLAK VIRAL;Pedas;BALL 1 KG;In;2024-12;70;40000;2800000; Bumi Sari Cianjur  ;
1316;SM;SISTIK MAWAR;Asin;BALL 1 KG;In;2024-12;33;50000;1650000; Bumi Sari Cianjur  ;
1317;SBT;STIK BALADO TAKARA;Pedas;BALL 1 KG;In;2024-12;45;40000;1800000; Bumi Sari Cianjur  ;
1318;SUL;SUMPIA UDANG JAYA LAKSANA ;Asin;BALL 2 KG;In;2024-12;60;80000;4800000; Bumi Sari Cianjur  ;
1319;TGW;TELOR GABUS WIJEN ;Asin;BALL 2 KG;In;2024-12;80;60000;4800000; Bumi Sari Cianjur  ;
1320;TGT;TELOR GABUS TJ;Asin;BALL 1 KG;In;2024-12;55;25000;1375000; Bumi Sari Cianjur;
